VPC ID,Security Group ID,Security Group Name
vpc-ee428187,sg-17c11e7e,load-balancer
vpc-ee428187,sg-48db2422,launch-wizard-3
vpc-ee428187,sg-a3af3ec8,mysql-jumpbox-sg
vpc-ee428187,sg-f3c11e9a,web-tier
